"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
2012;0;0;1;90;63;27;47;0;0;0;0;0;0;0;0;0;1;0
1945;6;1;1;90;74;16;9;0;0;0;1;1;0;1;1;0;0;1
2003;1;1;1;90;86;38;1;0;0;0;0;1;0;0;1;0;0;1
1999;4;3;1;90;74;31;25;1;0;0;0;0;1;0;1;1;0;1
1967;0;3;0;90;69;9;11;1;0;0;0;0;0;0;0;0;0;0
2023;4;2;1;90;84;53;112;1;0;0;1;0;0;0;0;0;0;1
2020;5;3;1;90;75;27;49;1;0;0;0;0;0;0;0;1;0;0
1999;4;2;1;90;87;36;546;1;0;0;0;0;0;0;1;0;0;1
2004;2;2;1;90;87;41;1;0;0;0;0;1;0;0;0;0;0;1
2010;4;3;1;90;83;31;169;1;1;0;0;0;0;0;0;0;0;0
2000;0;3;1;90;59;38;411;1;0;0;0;1;0;0;1;0;0;1
1963;0;3;1;90;83;16;14;1;1;1;0;0;0;1;0;0;0;0
1957;6;0;1;90;85;18;53;1;0;0;0;0;0;0;0;0;0;1
1932;2;1;0;90;75;12;13;1;1;0;0;0;0;1;0;0;0;1
2018;4;0;1;90;80;45;189;1;0;0;1;0;0;0;0;0;0;1
1998;2;1;1;90;68;30;1;1;0;0;0;0;0;0;1;0;0;0
2007;4;0;1;90;83;33;174;1;0;0;1;0;0;0;0;0;0;1
1986;3;2;0;90;80;12;89;1;0;0;0;0;0;0;1;0;0;0
2014;0;1;0;90;74;11;10;0;0;0;0;0;0;0;0;0;1;0
1929;1;0;0;90;78;7;28;0;0;0;1;0;0;0;1;0;0;1
2018;5;2;1;90;72;26;79;1;0;1;0;0;1;1;0;0;0;0
2024;0;3;1;90;58;27;18;0;0;0;1;1;0;0;1;0;0;1
2016;4;2;1;90;78;42;221;1;0;0;1;0;0;0;1;0;0;0
1930;6;1;0;90;74;9;20;1;0;0;1;0;0;0;0;0;0;1
